SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1136716,321385,-1,36.0,15.0,Active,1,1
2474423,444658,-19,36.0,32.0,Active,0,0
1881900,122568,-79,4.0,1.0,Active,0,0
1298819,408981,-22,36.0,34.0,Active,0,0
2415237,405544,-10,10.0,4.0,Active,0,0
1800699,148035,-34,12.0,12.0,Active,0,0
1513267,416239,-25,6.0,0.0,Completed,0,0
1717019,319727,-33,18.0,16.0,Active,0,0
1136326,136985,-28,18.0,15.0,Active,0,0
2797038,383564,-86,6.0,0.0,Active,0,0
1987330,384877,-77,11.0,8.0,Active,0,0
1610806,223649,-14,6.0,3.0,Active,0,0
1033045,290651,-13,4.0,0.0,Active,0,0
2462701,432677,-43,12.0,1.0,Active,0,0
2050889,455482,-84,12.0,9.0,Active,0,0
1420097,226122,-29,18.0,16.0,Active,0,0
1672516,380457,-8,12.0,8.0,Active,0,0
2228199,153394,-60,9.0,7.0,Active,0,0
1368071,377237,-37,10.0,2.0,Active,0,0
2081013,123468,-2,12.0,0.0,Completed,0,0
1319173,149017,-7,24.0,13.0,Active,0,0
1052654,296778,-79,6.0,5.0,Active,0,0
2502768,260823,-53,11.0,9.0,Active,0,0
2085161,302455,-23,14.0,0.0,Completed,0,0
2399011,372428,-45,6.0,1.0,Active,0,0
1204690,427702,-26,48.0,46.0,Active,0,0
1750005,434061,-20,12.0,10.0,Active,0,0
1843437,150545,-8,48.0,47.0,Active,0,0
1635459,185634,-83,10.0,0.0,Active,0,0
1725829,344101,-23,6.0,0.0,Completed,1575,0
1315700,314642,-28,12.0,4.0,Active,0,0
1224798,121576,-2,12.0,9.0,Active,0,0
1235968,309276,-24,24.0,23.0,Active,0,0
1799160,332552,-6,10.0,0.0,Completed,0,0
2203023,121556,-86,10.0,10.0,Active,0,0
1440497,171390,-62,18.0,16.0,Active,0,0
1362058,247280,-30,12.0,11.0,Active,0,0
1378271,244136,-11,4.0,0.0,Completed,0,0
2603677,334397,-8,23.0,0.0,Completed,0,0
1922634,170279,-38,24.0,20.0,Active,0,0
2012283,118305,-11,36.0,24.0,Active,0,0
2322334,268765,-44,6.0,1.0,Active,0,0
2027541,235924,-84,8.0,7.0,Active,0,0
1068856,243770,-44,12.0,9.0,Active,0,0
1315574,115694,-58,6.0,0.0,Active,32,0
1666333,353364,-91,10.0,9.0,Active,0,0
1151895,407516,-42,12.0,7.0,Active,0,0
1151365,358650,-64,12.0,10.0,Active,0,0
1976585,256235,-26,12.0,3.0,Active,0,0
1734086,431539,-9,54.0,47.0,Active,0,0
1730539,246549,-63,10.0,5.0,Active,0,0
1219716,297896,-36,6.0,5.0,Active,0,0
1821300,454692,-26,24.0,17.0,Active,0,0
1200886,377304,-39,24.0,6.0,Active,0,0
1973513,439047,-2,36.0,3.0,Active,0,0
2713106,416376,-55,12.0,8.0,Active,0,0
1516427,167083,-45,12.0,6.0,Active,0,0
2756264,413347,-16,10.0,7.0,Active,0,0
