SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
216551,6279895,Active,currency 1,-698,0,,,,0,180000.0,97834.5,,0.0,Credit card,-23,10417.5
330908,5584798,Closed,currency 1,-886,0,-521.0,-521.0,,0,66384.0,0.0,0.0,0.0,Consumer credit,-520,0.0
121976,5448605,Active,currency 1,-666,0,,,,0,45000.0,90805.5,,0.0,Credit card,-225,
360964,5825790,Active,currency 1,-1076,0,-710.0,,,0,175500.0,163008.0,,0.0,Consumer credit,-1044,13887.0
164842,6707401,Closed,currency 1,-918,0,-553.0,-553.0,35655.795,0,450000.0,0.0,0.0,0.0,Consumer credit,-553,
326385,5932946,Closed,currency 1,-1323,0,-1140.0,-1169.0,,0,39969.675,0.0,,0.0,Consumer credit,-880,
250469,6253484,Closed,currency 1,-733,0,-368.0,-368.0,,0,137430.0,0.0,0.0,0.0,Consumer credit,-178,0.0
311436,6809683,Closed,currency 1,-995,0,30878.0,-712.0,,0,315000.0,0.0,,0.0,Credit card,-6,
419925,5699574,Active,currency 1,-434,0,1401.0,,,0,382500.0,275937.345,106562.655,0.0,Credit card,-5,
201614,6489563,Closed,currency 1,-1288,0,-1042.0,-1015.0,,0,41040.0,0.0,0.0,0.0,Consumer credit,-728,
371832,6843402,Active,currency 1,-535,0,195.0,,,0,201573.0,62460.0,,0.0,Consumer credit,-13,
343885,6508544,Closed,currency 1,-1173,0,654.0,-244.0,,0,342000.0,0.0,,0.0,Consumer credit,-235,
310020,5488406,Closed,currency 1,-1897,0,-1591.0,-1590.0,,0,31293.0,0.0,0.0,0.0,Consumer credit,-1467,
355880,6828043,Closed,currency 1,-1427,0,-1060.0,-1060.0,,0,517500.0,0.0,,0.0,Consumer credit,-7,
