SK_ID_BUREAU,MONTHS_BALANCE,STATUS
6423524,-10,X
6059583,-20,0
6298033,-70,C
6562465,-2,0
5929260,-31,C
5514685,-22,C
5022798,-21,C
6647764,-4,C
5067718,-38,C
5401506,-73,C
5727697,-60,C
6008231,-13,0
5963828,-7,X
6343281,-49,0
6015031,-3,0
6646154,-9,C
5963091,-2,C
5345941,-64,X
6123135,-24,0
6696817,-12,C
5669694,-5,X
5771385,-13,C
6432794,-15,C
6191665,-89,C
5400847,-11,C
6116241,-47,C
6239134,-71,C
6836309,-40,C
5343707,-21,C
6466285,-18,C
5956286,-21,C
6689187,-55,0
6095410,-2,C
6574085,-12,C
5805157,-30,X
5764823,0,0
6343061,-2,0
6528609,-8,0
5518766,-6,C
5939926,-21,0
5061302,-10,0
6730723,-21,C
6029532,-2,0
5398867,-16,0
6637129,-24,C
6610748,-43,C
5923532,-48,C
5262512,-9,0
6519832,-23,C
6466126,-33,0
5537648,-61,C
6421150,-49,C
5884485,-12,C
6693445,-16,X
6479568,-41,C
6428627,-2,C
5282854,-15,C
5659447,0,C
6362549,-2,C
5979366,-36,C
6842589,-11,0
6079742,-8,C
5996496,-29,0
6087526,-72,C
6332498,-9,C
6254947,-7,C
5713968,-12,C
5581640,-70,C
5017230,-49,0
6161924,-60,0
6202322,-39,C
5297578,0,0
5609664,-16,X
6529169,-37,X
5126552,-16,0
5742291,-43,C
5807501,-88,X
5142145,-25,C
6698063,-40,C
6695545,-47,0
5906878,-8,X
5359591,-38,C
5051188,-12,X
6203053,-96,C
5213039,0,C
6783596,-87,C
6019999,-36,X
5730742,-41,0
5048514,-46,X
5562392,-31,0
5344315,-1,C
6107951,-12,C
6255157,-38,C
6829819,-6,0
6139360,-91,0
5852277,-46,X
5814408,-17,C
6690225,-26,X
6424449,-46,C
5028931,-57,0
6253389,-18,C
5825357,-51,C
5964368,-24,C
6297604,-15,0
6670752,-2,C
6326961,-73,0
6079788,-39,0
5632850,0,C
5343390,-39,C
6415889,-40,X
5759853,-87,C
6472478,-41,0
6100713,-37,C
5713574,-7,C
6782707,-23,C
5359795,-61,0
6543320,-31,C
6513662,-9,C
6601306,-26,0
6263340,-21,X
5224404,-48,0
5938447,-68,C
5355445,-24,C
5902181,-13,C
6309343,-40,X
6609881,-59,0
6460785,-46,C
6069047,-9,C
6123617,-18,C
5313682,-67,0
5231199,-41,X
6395940,0,C
6435784,-24,C
6652012,-13,1
5933432,-46,C
6005802,-60,X
5185666,0,5
6457650,-11,C
6090640,-53,C
6208005,-42,0
5765260,-47,C
6029581,-52,C
5574681,-26,0
6792404,-49,0
5518545,-23,C
6507373,-7,C
6430670,-46,0
6410497,-68,C
5925267,-3,X
6435196,-36,C
6374855,-22,C
6547438,-45,C
6611365,-13,C
6115992,-14,C
5852538,-15,C
6429778,-47,0
5213149,-1,C
6399423,-11,X
5625112,-47,C
6442841,-41,X
5833012,-4,0
6302262,-51,X
6588032,-43,C
6057022,-22,0
5028935,-76,0
6447567,-60,C
6098707,-75,X
6020242,-1,C
6195935,-17,C
5719652,-4,C
6579841,-35,X
6481392,-19,C
5958063,-72,0
6309634,-76,C
6779030,-70,0
5710224,-10,X
5009582,-24,X
6117005,-10,X
6210808,-47,0
5045702,-56,C
6659160,-87,0
6743446,-35,C
6429852,-12,C
5139670,-79,C
5845037,-68,C
5121194,-19,C
5828955,-22,C
6442295,-62,0
6698015,-36,0
5999594,-1,X
6539009,-14,C
5343374,-31,C
5224032,-30,C
5814963,-9,X
5892716,-28,X
5938999,-21,C
6726571,-7,0
5741122,-15,X
6284437,-4,X
5163061,-20,C
5889969,-32,C
6020100,-20,C
6607980,-56,X
5823909,-3,X
6571042,-8,0
6370308,-4,X
5170635,-14,C
6364421,-40,X
6242096,-38,X
5476367,-17,0
5936855,-3,C
5515067,-2,C
6779216,-5,0
6484858,-22,0
6588455,-40,C
6472044,-77,0
6283932,-37,C
5708144,-27,C
6691000,-6,C
6189081,-12,C
6606204,-24,C
6733352,-4,C
5095642,-20,0
6342802,-8,X
5936395,-35,C
5987324,-30,C
6015171,-18,C
6810669,-6,C
5417325,-76,X
5164908,-9,C
6519849,-38,0
5017960,-18,C
5736607,-55,C
5884448,0,C
5790139,-14,X
6801418,-33,X
5115681,-32,C
5905575,-59,C
6206504,-38,C
5514046,-19,C
5709604,-18,C
5875488,-56,C
6545062,-23,C
