SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1923312,403718,-18,0.0,585000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2805983,455378,-77,0.0,90000,0.0,0.0,0.0,0.0,0.0,457.38,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
2462857,118400,-32,0.0,67500,0.0,0.0,0.0,0.0,0.0,122.67,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,Active,0,0
2178656,448061,-10,44735.805,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,43221.87,44735.805,44735.805,0.0,0,0.0,0.0,67.0,Active,0,0
1723729,213693,-68,0.0,0,0.0,0.0,0.0,0.0,0.0,1046.79,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Active,0,0
2594564,424216,-34,0.0,180000,0.0,0.0,0.0,0.0,0.0,798.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.0,Active,0,0
1187791,387559,-4,380813.445,675000,90000.0,155205.0,0.0,65205.0,11558.52,14370.93,14370.93,372004.605,378122.445,378122.445,2.0,4,0.0,2.0,6.0,Active,0,0
2356263,157818,-15,43636.23,45000,4950.0,7016.4,0.0,2066.4,2361.6,18000.0,18000.0,38048.535,40945.23,40945.23,2.0,4,0.0,2.0,14.0,Active,0,0
1789593,352711,-91,113446.17,135000,0.0,0.0,0.0,0.0,6750.0,18000.0,18000.0,108753.93,113446.17,113446.17,0.0,0,0.0,0.0,5.0,Active,0,0
1798121,342093,-31,0.0,135000,0.0,0.0,0.0,0.0,0.0,328.905,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32.0,Active,0,0
1332072,257418,-45,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Active,0,0
1710168,234553,-64,0.0,0,0.0,0.0,0.0,0.0,0.0,451.98,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,Active,0,0
2403589,237550,-33,100320.21,180000,0.0,0.0,0.0,0.0,9000.0,9675.0,9675.0,95233.05,100320.21,100320.21,0.0,0,0.0,0.0,40.0,Active,0,0
1322719,428213,-92,17197.785,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,15564.24,17197.785,17197.785,0.0,0,0.0,0.0,14.0,Active,0,0
2162353,391416,-48,0.0,0,0.0,0.0,0.0,0.0,0.0,319.59,0.0,0.0,-319.59,-319.59,0.0,0,0.0,0.0,23.0,Active,0,0
2142894,173146,-3,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2152709,143708,-71,34596.18,135000,0.0,0.0,0.0,0.0,8100.0,9000.0,9000.0,33081.66,34596.18,34596.18,0.0,0,0.0,0.0,27.0,Active,0,0
