SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
2108382,453101,1.0,11,-725.0,-748.0,33952.005,2492.145
2774334,340280,0.0,5,-142.0,-146.0,9073.08,9073.08
1159735,146736,0.0,32,-1992.0,-2007.0,6750.0,6750.0
2109106,199988,1.0,1,-2800.0,-2813.0,7373.745,7373.745
1298419,188261,1.0,8,-2626.0,-2638.0,2726.73,2726.73
1557632,147515,1.0,9,-604.0,-630.0,7939.845,358.74
1486550,356815,0.0,146,-150.0,-150.0,2040.885,2040.885
2341597,364796,0.0,14,-2677.0,-2677.0,146.655,146.655
1618206,133425,1.0,2,-865.0,-861.0,7440.975,7129.35
2270098,185512,1.0,9,-106.0,-107.0,11240.865,11240.865
2446364,233241,0.0,13,-604.0,-604.0,90000.0,90000.0
2512158,288891,1.0,20,-2241.0,-2248.0,5037.84,5037.84
2575028,381178,1.0,6,-1154.0,-1163.0,10984.095,10984.095
1999613,359139,0.0,9,-2421.0,-2435.0,5625.0,5625.0
1441739,252774,1.0,8,-770.0,-772.0,18740.835,18740.835
1080675,364756,0.0,3,-325.0,-336.0,2250.0,2250.0
1728119,144146,1.0,7,-1335.0,-1351.0,5521.68,5521.68
2450097,122157,0.0,11,-626.0,-626.0,4016.655,4016.655
2220623,438677,0.0,68,-1289.0,-1289.0,4500.0,4500.0
1944913,396289,0.0,3,-252.0,-255.0,2370.24,2370.24
2260320,455633,0.0,25,-69.0,-69.0,2943.945,2943.945
1570202,157056,0.0,69,-1945.0,-1975.0,67.5,67.5
2353421,247394,1.0,5,-2531.0,-2542.0,8973.0,8973.0
1106056,273348,2.0,9,-165.0,-178.0,9450.675,9450.675
1314190,299577,0.0,133,-857.0,-857.0,1125.0,1125.0
1155535,441275,1.0,4,-7.0,-6.0,15863.76,15863.76
1744665,384762,1.0,15,-57.0,-77.0,8939.115,8939.115
2425056,430809,0.0,17,-1947.0,-1972.0,9000.0,9000.0
1029850,125488,1.0,14,-1308.0,-1320.0,7557.885,7557.885
2282267,360893,0.0,8,-199.0,-199.0,360.0,360.0
2228284,393641,1.0,3,-1911.0,-1937.0,7071.75,7071.75
2103625,331082,0.0,137,-6.0,-36.0,336.87,336.87
1715039,392103,1.0,17,-941.0,-941.0,15653.97,15653.97
1844852,306121,3.0,2,-589.0,-596.0,9347.985,9347.985
2630125,420321,0.0,119,-428.0,-428.0,1702.665,1702.665
2708099,412478,1.0,8,-2234.0,-2252.0,22168.305,22168.305
2075471,175835,3.0,12,-89.0,-98.0,17098.965,17098.965
1423384,451119,0.0,60,-1183.0,-1183.0,212.13,212.13
2806347,323448,1.0,7,-2517.0,-2517.0,7363.26,7363.26
1411061,402332,0.0,35,-724.0,-724.0,11061.0,11061.0
2411076,377663,0.0,96,-86.0,-85.0,13500.0,13500.0
1843385,170973,0.0,59,-976.0,-976.0,188.595,188.595
1513558,381342,1.0,4,-2340.0,-2350.0,5535.405,5535.405
1517586,173150,1.0,7,-2836.0,-2836.0,6585.39,6585.39
2438295,363253,1.0,12,-478.0,-515.0,8852.985,8852.985
1360085,419392,1.0,4,-2428.0,-2428.0,11419.875,11419.875
2239845,145872,2.0,5,-803.0,-811.0,140677.245,140677.245
1985637,114855,1.0,1,-1292.0,-1300.0,4196.385,4196.385
1210133,420672,1.0,1,-200.0,-202.0,6143.49,6143.49
2558020,385706,0.0,95,-1129.0,-1129.0,129.15,129.15
1672963,217174,1.0,3,-469.0,-485.0,19860.84,19860.84
2589311,309711,1.0,3,-666.0,-680.0,6005.61,6005.61
1160682,422601,1.0,1,-72.0,-89.0,12708.135,12708.135
1090369,258645,3.0,17,-412.0,-526.0,16361.37,16361.37
2709693,151039,1.0,3,-1979.0,-2016.0,2856.42,2856.42
1906440,294136,1.0,1,-478.0,-493.0,14149.395,14149.395
1205180,297038,1.0,10,-270.0,-276.0,10809.0,10809.0
1324167,284797,0.0,51,-1910.0,-1914.0,4500.0,4500.0
1839791,411081,3.0,6,-539.0,-557.0,12242.295,12242.295
2712852,364660,1.0,4,-974.0,-987.0,6600.105,6600.105
1688650,312963,1.0,1,-2045.0,-2054.0,3676.995,3676.995
2658487,216621,1.0,1,-712.0,-725.0,7469.235,7469.235
2610018,120643,1.0,10,-156.0,-159.0,27726.84,27726.84
1729391,181249,1.0,6,-838.0,-868.0,13441.23,13441.23
1139163,341429,1.0,7,-553.0,-553.0,51655.725,51655.725
